,predicted,truth
0,4.0,4.0
1,4.0,4.0
2,2.0,1.0
3,3.0,3.0
4,2.0,2.0
5,3.0,5.0
6,2.0,1.0
7,3.0,5.0
8,4.0,3.0
9,4.0,3.0
10,3.0,1.0
11,3.0,3.0
12,4.0,2.0
13,3.0,5.0
14,3.0,2.0
15,3.0,4.0
16,4.0,2.0
17,4.0,3.0
18,3.0,4.0
19,3.0,4.0
20,4.0,2.0
21,3.0,5.0
22,4.0,4.0
23,4.0,1.0
24,4.0,5.0
25,3.0,3.0
26,4.0,3.0
27,3.0,5.0
28,3.0,4.0
29,2.0,5.0
30,3.0,3.0
31,4.0,2.0
32,4.0,3.0
33,3.0,3.0
34,2.0,1.0
35,3.0,3.0
36,3.0,4.0
37,3.0,5.0
38,4.0,4.0
39,3.0,3.0
40,4.0,2.0
41,3.0,2.0
42,3.0,4.0
43,3.0,4.0
44,3.0,2.0
45,2.0,1.0
46,2.0,1.0
47,3.0,5.0
48,3.0,3.0
49,3.0,5.0
50,3.0,4.0
51,4.0,1.0
52,3.0,2.0
53,3.0,1.0
54,2.0,2.0
55,4.0,2.0
56,3.0,5.0
57,4.0,3.0
58,3.0,2.0
59,2.0,1.0
60,3.0,2.0
61,4.0,3.0
62,4.0,4.0
63,3.0,3.0
64,3.0,5.0
65,3.0,4.0
66,2.0,1.0
67,3.0,2.0
68,2.0,1.0
69,2.0,1.0
70,3.0,1.0
71,3.0,4.0
72,4.0,5.0
73,3.0,1.0
74,3.0,3.0
75,3.0,4.0
76,3.0,2.0
77,3.0,5.0
78,3.0,2.0
79,2.0,1.0
80,2.0,1.0
81,4.0,3.0
82,3.0,4.0
83,3.0,2.0
84,3.0,3.0
85,4.0,4.0
86,4.0,5.0
87,3.0,4.0
88,3.0,4.0
89,2.0,1.0
90,2.0,2.0
91,3.0,2.0
92,3.0,3.0
93,3.0,5.0
94,3.0,2.0
95,2.0,5.0
96,3.0,2.0
97,3.0,2.0
98,2.0,2.0
99,3.0,5.0
100,3.0,2.0
101,3.0,3.0
102,3.0,4.0
103,2.0,3.0
104,4.0,5.0
105,4.0,1.0
106,2.0,1.0
107,3.0,4.0
108,3.0,3.0
109,2.0,2.0
110,3.0,2.0
111,3.0,3.0
112,4.0,4.0
113,2.0,1.0
114,3.0,3.0
115,3.0,3.0
116,2.0,1.0
117,4.0,2.0
118,4.0,5.0
119,3.0,5.0
120,3.0,2.0
121,4.0,3.0
122,3.0,4.0
123,4.0,5.0
124,2.0,2.0
125,3.0,3.0
126,4.0,4.0
127,3.0,5.0
128,3.0,2.0
129,2.0,3.0
130,3.0,5.0
131,3.0,4.0
132,4.0,3.0
133,3.0,5.0
134,2.0,1.0
135,3.0,5.0
136,3.0,5.0
137,3.0,1.0
138,2.0,2.0
139,2.0,1.0
140,3.0,2.0
141,3.0,2.0
142,2.0,1.0
143,2.0,1.0
144,4.0,5.0
145,2.0,5.0
146,3.0,2.0
147,3.0,4.0
148,3.0,2.0
149,2.0,5.0
150,3.0,4.0
151,4.0,5.0
152,4.0,4.0
153,3.0,2.0
154,3.0,4.0
155,4.0,3.0
156,3.0,3.0
157,3.0,4.0
158,3.0,1.0
159,2.0,1.0
160,3.0,1.0
161,2.0,5.0
162,2.0,2.0
163,2.0,2.0
164,2.0,1.0
165,2.0,2.0
166,3.0,3.0
167,3.0,4.0
168,3.0,3.0
169,2.0,2.0
170,2.0,1.0
171,3.0,5.0
172,3.0,2.0
173,3.0,4.0
174,4.0,2.0
175,4.0,4.0
176,3.0,5.0
177,3.0,4.0
178,4.0,3.0
179,3.0,3.0
180,3.0,2.0
181,3.0,2.0
182,3.0,5.0
183,2.0,1.0
184,3.0,5.0
185,4.0,5.0
186,2.0,2.0
187,4.0,5.0
188,3.0,5.0
189,3.0,1.0
190,2.0,5.0
191,2.0,1.0
192,2.0,1.0
193,4.0,5.0
194,4.0,3.0
195,4.0,4.0
196,3.0,4.0
197,2.0,3.0
198,3.0,4.0
199,3.0,4.0
200,3.0,3.0
201,3.0,1.0
202,3.0,2.0
203,2.0,1.0
204,3.0,3.0
205,2.0,2.0
206,2.0,2.0
207,3.0,2.0
208,3.0,3.0
209,4.0,5.0
210,3.0,1.0
211,4.0,5.0
212,3.0,3.0
213,2.0,2.0
214,4.0,5.0
215,3.0,5.0
216,3.0,2.0
217,3.0,3.0
218,3.0,3.0
219,4.0,4.0
220,3.0,4.0
221,3.0,4.0
222,3.0,4.0
223,3.0,2.0
224,3.0,1.0
225,3.0,1.0
226,4.0,5.0
227,2.0,2.0
228,3.0,4.0
229,4.0,2.0
230,2.0,1.0
231,2.0,2.0
232,2.0,2.0
233,4.0,2.0
234,3.0,2.0
235,2.0,4.0
236,4.0,4.0
237,2.0,1.0
238,4.0,5.0
239,3.0,1.0
240,3.0,1.0
241,3.0,5.0
242,2.0,5.0
243,3.0,3.0
244,2.0,1.0
245,3.0,4.0
246,2.0,3.0
247,4.0,5.0
248,3.0,4.0
249,3.0,5.0
250,3.0,3.0
251,4.0,5.0
252,3.0,5.0
253,3.0,2.0
254,3.0,1.0
255,3.0,2.0
256,3.0,4.0
257,3.0,5.0
258,3.0,3.0
259,4.0,3.0
260,3.0,3.0
261,4.0,5.0
262,3.0,2.0
263,3.0,3.0
264,2.0,4.0
265,3.0,3.0
266,3.0,4.0
267,2.0,1.0
268,2.0,1.0
269,4.0,5.0
270,2.0,1.0
271,4.0,1.0
272,2.0,1.0
273,3.0,3.0
274,3.0,4.0
275,3.0,3.0
276,2.0,1.0
277,3.0,3.0
278,3.0,5.0
279,2.0,1.0
280,4.0,4.0
281,3.0,4.0
282,2.0,1.0
283,3.0,1.0
284,3.0,4.0
285,3.0,3.0
286,3.0,2.0
287,3.0,1.0
288,2.0,1.0
289,2.0,1.0
290,3.0,5.0
291,2.0,5.0
292,3.0,4.0
293,3.0,1.0
294,3.0,5.0
295,3.0,3.0
296,3.0,3.0
297,3.0,2.0
298,4.0,2.0
299,4.0,4.0
300,3.0,2.0
301,3.0,4.0
302,4.0,2.0
303,3.0,2.0
304,4.0,3.0
305,4.0,4.0
306,3.0,2.0
307,4.0,3.0
308,3.0,5.0
309,2.0,1.0
310,3.0,2.0
311,3.0,4.0
312,4.0,5.0
313,2.0,2.0
314,3.0,2.0
315,3.0,5.0
316,3.0,2.0
317,3.0,1.0
318,2.0,1.0
319,3.0,5.0
320,3.0,2.0
321,4.0,4.0
322,2.0,1.0
323,4.0,3.0
324,3.0,2.0
325,4.0,3.0
326,4.0,3.0
327,3.0,1.0
328,4.0,1.0
329,3.0,2.0
330,2.0,2.0
331,3.0,3.0
332,4.0,5.0
333,4.0,5.0
334,4.0,5.0
335,3.0,3.0
336,2.0,4.0
337,2.0,2.0
338,4.0,4.0
339,3.0,2.0
340,4.0,2.0
341,3.0,2.0
342,3.0,1.0
343,3.0,4.0
344,3.0,1.0
345,3.0,4.0
346,3.0,3.0
347,3.0,4.0
348,3.0,3.0
349,2.0,1.0
350,4.0,5.0
351,4.0,5.0
352,3.0,5.0
353,3.0,5.0
354,2.0,1.0
355,4.0,3.0
356,3.0,4.0
357,4.0,3.0
358,3.0,3.0
359,2.0,4.0
360,3.0,2.0
361,3.0,4.0
362,3.0,2.0
363,4.0,3.0
364,4.0,4.0
365,2.0,1.0
366,4.0,4.0
367,4.0,4.0
368,3.0,5.0
369,3.0,5.0
370,3.0,3.0
371,3.0,3.0
372,3.0,5.0
373,3.0,3.0
374,4.0,4.0
375,3.0,5.0
376,3.0,5.0
377,4.0,4.0
378,3.0,3.0
379,3.0,1.0
380,2.0,2.0
381,3.0,3.0
382,2.0,3.0
383,3.0,1.0
384,3.0,5.0
385,2.0,1.0
386,3.0,3.0
387,3.0,5.0
388,3.0,4.0
389,3.0,1.0
390,3.0,4.0
391,3.0,2.0
392,4.0,4.0
393,3.0,1.0
394,2.0,1.0
395,2.0,1.0
396,4.0,4.0
397,2.0,1.0
398,2.0,1.0
399,3.0,5.0
