,predicted,truth
0,3.0,4.0
1,3.0,3.0
2,4.0,5.0
3,4.0,4.0
4,4.0,4.0
5,4.0,2.0
6,3.0,5.0
7,3.0,2.0
8,3.0,2.0
9,3.0,5.0
10,4.0,4.0
11,3.0,4.0
12,2.0,1.0
13,4.0,4.0
14,2.0,1.0
15,4.0,1.0
16,4.0,3.0
17,4.0,4.0
18,4.0,1.0
19,3.0,3.0
20,3.0,2.0
21,3.0,2.0
22,4.0,2.0
23,4.0,3.0
24,3.0,1.0
25,2.0,2.0
26,2.0,3.0
27,4.0,4.0
28,3.0,5.0
29,3.0,4.0
30,4.0,1.0
31,3.0,5.0
32,4.0,2.0
33,4.0,4.0
34,3.0,5.0
35,4.0,4.0
36,2.0,1.0
37,4.0,3.0
38,2.0,1.0
39,3.0,4.0
40,2.0,1.0
41,3.0,3.0
42,4.0,5.0
43,2.0,2.0
44,2.0,5.0
45,3.0,2.0
46,3.0,2.0
47,4.0,5.0
48,4.0,5.0
49,4.0,3.0
50,2.0,1.0
51,4.0,2.0
52,4.0,5.0
53,3.0,3.0
54,4.0,5.0
55,4.0,2.0
56,2.0,4.0
57,4.0,5.0
58,4.0,3.0
59,3.0,4.0
60,3.0,3.0
61,4.0,5.0
62,3.0,1.0
63,3.0,1.0
64,2.0,1.0
65,3.0,2.0
66,4.0,5.0
67,3.0,5.0
68,3.0,5.0
69,4.0,5.0
70,4.0,5.0
71,4.0,4.0
72,2.0,1.0
73,3.0,5.0
74,4.0,4.0
75,2.0,3.0
76,3.0,3.0
77,3.0,5.0
78,3.0,5.0
79,4.0,4.0
80,3.0,1.0
81,4.0,4.0
82,2.0,3.0
83,3.0,1.0
84,4.0,2.0
85,4.0,1.0
86,2.0,3.0
87,2.0,2.0
88,3.0,1.0
89,4.0,2.0
90,3.0,4.0
91,4.0,4.0
92,4.0,3.0
93,2.0,4.0
94,3.0,5.0
95,2.0,3.0
96,2.0,1.0
97,4.0,5.0
98,4.0,5.0
99,2.0,5.0
100,4.0,2.0
101,4.0,3.0
102,3.0,3.0
103,2.0,4.0
104,4.0,3.0
105,2.0,5.0
106,3.0,1.0
107,2.0,3.0
108,4.0,5.0
109,2.0,3.0
110,4.0,5.0
111,2.0,1.0
112,2.0,4.0
113,4.0,5.0
114,2.0,5.0
115,2.0,5.0
116,2.0,1.0
117,2.0,3.0
118,3.0,1.0
119,2.0,2.0
120,2.0,1.0
121,4.0,3.0
122,4.0,5.0
123,2.0,3.0
124,2.0,5.0
125,4.0,4.0
126,4.0,5.0
127,4.0,1.0
128,2.0,4.0
129,2.0,1.0
130,2.0,2.0
131,2.0,1.0
132,3.0,2.0
133,4.0,5.0
134,4.0,3.0
135,4.0,2.0
136,4.0,5.0
137,4.0,2.0
138,4.0,2.0
139,3.0,1.0
140,3.0,4.0
141,3.0,2.0
142,3.0,5.0
143,2.0,1.0
144,4.0,4.0
145,2.0,1.0
146,3.0,5.0
147,3.0,1.0
148,4.0,4.0
149,3.0,4.0
150,2.0,2.0
151,4.0,4.0
152,3.0,4.0
153,3.0,4.0
154,4.0,4.0
155,4.0,5.0
156,3.0,2.0
157,4.0,5.0
158,3.0,1.0
159,4.0,3.0
160,4.0,4.0
161,3.0,4.0
162,3.0,2.0
163,4.0,4.0
164,4.0,5.0
165,2.0,4.0
166,2.0,2.0
167,4.0,4.0
168,3.0,3.0
169,3.0,1.0
170,2.0,1.0
171,3.0,3.0
172,2.0,1.0
173,4.0,3.0
174,3.0,1.0
175,2.0,2.0
176,3.0,2.0
177,3.0,1.0
178,4.0,1.0
179,4.0,4.0
180,4.0,3.0
181,2.0,1.0
182,3.0,3.0
183,4.0,5.0
184,2.0,2.0
185,2.0,1.0
186,4.0,2.0
187,3.0,3.0
188,3.0,5.0
189,4.0,5.0
190,4.0,3.0
191,3.0,1.0
192,4.0,3.0
193,4.0,3.0
194,3.0,1.0
195,2.0,2.0
196,3.0,3.0
197,4.0,3.0
198,2.0,1.0
199,3.0,2.0
200,4.0,5.0
201,2.0,5.0
202,3.0,5.0
203,3.0,4.0
204,4.0,4.0
205,4.0,4.0
206,3.0,2.0
207,2.0,2.0
208,2.0,2.0
209,4.0,2.0
210,2.0,1.0
211,4.0,4.0
212,3.0,4.0
213,3.0,5.0
214,2.0,3.0
215,3.0,4.0
216,3.0,3.0
217,2.0,3.0
218,4.0,5.0
219,3.0,3.0
220,2.0,2.0
221,3.0,4.0
222,3.0,4.0
223,3.0,4.0
224,3.0,3.0
225,2.0,1.0
226,2.0,1.0
227,3.0,5.0
228,3.0,3.0
229,3.0,3.0
230,3.0,2.0
231,3.0,3.0
232,4.0,5.0
233,2.0,1.0
234,2.0,3.0
235,3.0,3.0
236,2.0,5.0
237,2.0,1.0
238,4.0,5.0
239,4.0,3.0
