,predicted,truth
0,4.0,4.0
1,4.0,5.0
2,3.0,5.0
3,2.0,1.0
4,3.0,3.0
5,4.0,4.0
6,2.0,1.0
7,2.0,5.0
8,4.0,5.0
9,4.0,4.0
10,2.0,2.0
11,4.0,3.0
12,2.0,2.0
13,3.0,2.0
14,2.0,1.0
15,4.0,4.0
16,4.0,3.0
17,4.0,3.0
18,4.0,4.0
19,4.0,4.0
20,4.0,4.0
21,2.0,1.0
22,4.0,2.0
23,4.0,3.0
24,3.0,4.0
25,2.0,1.0
26,4.0,4.0
27,2.0,3.0
28,4.0,3.0
29,2.0,4.0
30,3.0,2.0
31,4.0,4.0
32,3.0,4.0
33,4.0,2.0
34,4.0,5.0
35,4.0,4.0
36,4.0,3.0
37,3.0,3.0
38,2.0,1.0
39,3.0,3.0
40,3.0,1.0
41,2.0,1.0
42,4.0,1.0
43,4.0,3.0
44,3.0,1.0
45,4.0,2.0
46,2.0,1.0
47,2.0,2.0
48,3.0,3.0
49,3.0,2.0
50,3.0,2.0
51,4.0,4.0
52,4.0,4.0
53,2.0,2.0
54,4.0,5.0
55,2.0,2.0
56,3.0,1.0
57,4.0,4.0
58,4.0,2.0
59,2.0,1.0
60,3.0,5.0
61,4.0,5.0
62,3.0,1.0
63,2.0,1.0
64,3.0,5.0
65,4.0,5.0
66,3.0,4.0
67,4.0,5.0
68,3.0,3.0
69,3.0,3.0
70,4.0,3.0
71,4.0,3.0
72,2.0,2.0
73,2.0,3.0
74,2.0,1.0
75,3.0,2.0
76,3.0,1.0
77,2.0,1.0
78,2.0,1.0
79,2.0,2.0
80,2.0,5.0
81,2.0,1.0
82,4.0,3.0
83,3.0,3.0
84,4.0,3.0
85,4.0,5.0
86,4.0,4.0
87,4.0,3.0
88,4.0,5.0
89,2.0,3.0
90,4.0,4.0
91,2.0,2.0
92,4.0,3.0
93,2.0,1.0
94,4.0,5.0
95,4.0,5.0
96,3.0,5.0
97,2.0,2.0
98,2.0,3.0
99,4.0,5.0
100,2.0,2.0
101,4.0,5.0
102,4.0,5.0
103,2.0,3.0
104,3.0,3.0
105,3.0,4.0
106,3.0,5.0
107,4.0,4.0
108,3.0,3.0
109,3.0,3.0
110,2.0,2.0
111,3.0,5.0
112,2.0,1.0
113,2.0,2.0
114,3.0,1.0
115,3.0,3.0
116,2.0,1.0
117,4.0,2.0
118,3.0,4.0
119,3.0,1.0
120,2.0,3.0
121,4.0,4.0
122,4.0,5.0
123,3.0,5.0
124,2.0,1.0
125,4.0,3.0
126,4.0,5.0
127,4.0,4.0
128,2.0,1.0
129,4.0,3.0
130,2.0,2.0
131,2.0,3.0
132,3.0,2.0
133,2.0,1.0
134,4.0,5.0
135,4.0,3.0
136,3.0,2.0
137,3.0,5.0
138,4.0,5.0
139,4.0,4.0
140,4.0,4.0
141,2.0,1.0
142,2.0,1.0
143,3.0,2.0
144,4.0,4.0
145,4.0,4.0
146,4.0,4.0
147,2.0,2.0
148,2.0,3.0
149,4.0,3.0
150,3.0,1.0
151,3.0,5.0
152,2.0,1.0
153,3.0,2.0
154,4.0,5.0
155,4.0,5.0
156,4.0,4.0
157,2.0,1.0
158,4.0,5.0
159,2.0,3.0
160,4.0,3.0
161,4.0,2.0
162,4.0,5.0
163,2.0,1.0
164,4.0,2.0
165,2.0,2.0
166,4.0,5.0
167,4.0,5.0
168,4.0,4.0
169,3.0,3.0
170,2.0,1.0
171,4.0,5.0
172,2.0,3.0
173,2.0,4.0
174,2.0,1.0
175,2.0,5.0
176,3.0,1.0
177,3.0,1.0
178,4.0,2.0
179,2.0,2.0
180,3.0,2.0
181,4.0,5.0
182,3.0,5.0
183,2.0,1.0
184,2.0,4.0
185,4.0,4.0
186,4.0,5.0
187,2.0,1.0
188,2.0,2.0
189,2.0,2.0
190,4.0,3.0
191,2.0,1.0
192,2.0,1.0
193,2.0,1.0
194,2.0,2.0
195,4.0,5.0
196,3.0,2.0
197,2.0,1.0
198,4.0,3.0
199,3.0,4.0
200,4.0,4.0
201,3.0,3.0
202,2.0,3.0
203,3.0,4.0
204,2.0,1.0
205,4.0,5.0
206,3.0,4.0
207,4.0,1.0
208,3.0,4.0
209,2.0,1.0
210,3.0,4.0
211,4.0,3.0
212,2.0,5.0
213,3.0,2.0
214,4.0,5.0
215,2.0,1.0
216,2.0,5.0
217,2.0,1.0
218,2.0,3.0
219,3.0,5.0
220,2.0,4.0
221,4.0,5.0
222,4.0,4.0
223,4.0,4.0
224,4.0,3.0
225,2.0,1.0
226,4.0,2.0
227,3.0,4.0
228,4.0,5.0
229,2.0,2.0
230,2.0,2.0
231,4.0,4.0
232,4.0,5.0
233,2.0,3.0
234,3.0,1.0
235,3.0,3.0
236,3.0,2.0
237,4.0,4.0
238,4.0,5.0
239,2.0,1.0
240,3.0,4.0
241,2.0,4.0
242,2.0,2.0
243,3.0,4.0
244,4.0,4.0
245,4.0,4.0
246,4.0,4.0
247,4.0,2.0
248,2.0,1.0
249,4.0,4.0
250,3.0,3.0
251,3.0,4.0
252,4.0,5.0
253,2.0,3.0
254,4.0,4.0
255,4.0,5.0
256,4.0,5.0
257,4.0,5.0
258,2.0,1.0
259,3.0,2.0
260,2.0,2.0
261,4.0,4.0
262,4.0,4.0
263,4.0,3.0
264,2.0,3.0
265,2.0,2.0
266,4.0,5.0
267,4.0,5.0
268,4.0,2.0
269,4.0,2.0
270,2.0,2.0
271,2.0,4.0
272,2.0,2.0
273,2.0,1.0
274,2.0,2.0
275,3.0,5.0
276,2.0,1.0
277,3.0,5.0
278,3.0,1.0
279,2.0,2.0
280,4.0,2.0
281,3.0,4.0
282,3.0,2.0
283,2.0,2.0
284,3.0,4.0
285,4.0,4.0
286,2.0,5.0
287,2.0,1.0
288,2.0,2.0
289,4.0,4.0
290,3.0,4.0
291,2.0,3.0
292,3.0,1.0
293,3.0,1.0
294,4.0,4.0
295,2.0,1.0
296,3.0,4.0
297,2.0,3.0
298,4.0,3.0
299,3.0,3.0
300,2.0,2.0
301,2.0,2.0
302,2.0,2.0
303,3.0,3.0
304,2.0,3.0
305,4.0,4.0
306,3.0,3.0
307,2.0,1.0
308,3.0,2.0
309,2.0,1.0
310,2.0,3.0
311,2.0,3.0
312,4.0,3.0
313,4.0,4.0
314,4.0,5.0
315,4.0,5.0
316,2.0,3.0
317,2.0,3.0
318,4.0,4.0
319,4.0,3.0
320,4.0,5.0
321,4.0,5.0
322,4.0,5.0
323,4.0,4.0
324,2.0,1.0
325,2.0,1.0
326,4.0,2.0
327,4.0,3.0
328,2.0,2.0
329,4.0,2.0
330,3.0,5.0
331,4.0,4.0
332,4.0,4.0
333,2.0,1.0
334,4.0,2.0
335,2.0,2.0
336,2.0,1.0
337,4.0,5.0
338,2.0,2.0
