,predicted,truth
0,3.0,4.0
1,4.0,5.0
2,2.0,1.0
3,3.0,2.0
4,2.0,1.0
5,2.0,2.0
6,4.0,5.0
7,2.0,3.0
8,4.0,4.0
9,3.0,5.0
10,3.0,2.0
11,4.0,2.0
12,4.0,4.0
13,4.0,3.0
14,2.0,1.0
15,4.0,1.0
16,3.0,5.0
17,4.0,4.0
18,3.0,3.0
19,3.0,5.0
20,3.0,1.0
21,2.0,1.0
22,4.0,5.0
23,3.0,2.0
24,4.0,5.0
25,3.0,4.0
26,3.0,3.0
27,3.0,1.0
28,2.0,1.0
29,3.0,2.0
30,2.0,1.0
31,3.0,5.0
32,3.0,5.0
33,4.0,3.0
34,4.0,3.0
35,3.0,2.0
36,2.0,1.0
37,3.0,2.0
38,4.0,5.0
39,2.0,1.0
40,2.0,3.0
41,2.0,1.0
42,2.0,1.0
43,2.0,1.0
44,2.0,4.0
45,3.0,4.0
46,3.0,3.0
47,3.0,4.0
48,3.0,5.0
49,4.0,3.0
50,4.0,3.0
51,3.0,1.0
52,3.0,2.0
53,4.0,4.0
54,3.0,4.0
55,4.0,5.0
56,3.0,5.0
57,4.0,5.0
58,4.0,3.0
59,4.0,5.0
60,4.0,5.0
61,4.0,2.0
62,3.0,2.0
63,3.0,5.0
64,2.0,2.0
65,3.0,3.0
66,4.0,4.0
67,4.0,3.0
68,2.0,2.0
69,4.0,4.0
70,2.0,1.0
71,3.0,3.0
72,3.0,4.0
73,4.0,4.0
74,3.0,3.0
75,2.0,1.0
76,4.0,4.0
77,2.0,4.0
78,4.0,5.0
79,3.0,3.0
80,2.0,1.0
81,3.0,5.0
82,4.0,5.0
83,2.0,2.0
84,3.0,5.0
85,4.0,5.0
86,2.0,4.0
87,4.0,2.0
88,2.0,2.0
89,3.0,4.0
90,2.0,2.0
91,4.0,2.0
92,2.0,1.0
93,4.0,3.0
94,2.0,2.0
95,4.0,4.0
96,3.0,1.0
97,2.0,1.0
98,4.0,2.0
99,3.0,2.0
100,3.0,3.0
101,3.0,3.0
102,3.0,4.0
103,3.0,4.0
104,3.0,5.0
105,2.0,1.0
106,3.0,4.0
107,2.0,1.0
108,2.0,4.0
109,4.0,3.0
110,3.0,2.0
111,2.0,4.0
112,2.0,2.0
113,3.0,5.0
114,4.0,3.0
115,2.0,5.0
116,2.0,1.0
117,3.0,4.0
118,3.0,4.0
119,4.0,3.0
120,2.0,1.0
121,3.0,5.0
122,4.0,3.0
123,2.0,3.0
124,3.0,4.0
125,4.0,2.0
126,3.0,3.0
127,3.0,4.0
128,4.0,5.0
129,3.0,5.0
130,3.0,3.0
131,3.0,5.0
132,4.0,5.0
133,3.0,3.0
134,3.0,1.0
135,3.0,1.0
136,4.0,4.0
137,3.0,2.0
138,2.0,2.0
139,3.0,4.0
140,4.0,4.0
141,2.0,5.0
142,2.0,1.0
143,3.0,3.0
144,4.0,4.0
145,2.0,4.0
146,2.0,1.0
147,2.0,4.0
148,2.0,2.0
149,3.0,5.0
150,3.0,1.0
151,4.0,3.0
152,3.0,5.0
153,2.0,1.0
154,3.0,3.0
155,3.0,1.0
156,2.0,5.0
157,3.0,3.0
158,4.0,4.0
159,3.0,4.0
160,3.0,5.0
161,3.0,5.0
162,2.0,2.0
163,3.0,3.0
164,3.0,2.0
165,3.0,5.0
166,3.0,3.0
167,3.0,3.0
168,3.0,1.0
169,4.0,3.0
170,2.0,2.0
171,4.0,5.0
172,2.0,1.0
173,4.0,4.0
174,3.0,2.0
175,2.0,2.0
176,3.0,2.0
177,3.0,5.0
178,2.0,2.0
179,4.0,5.0
180,2.0,3.0
181,4.0,4.0
182,2.0,2.0
183,4.0,2.0
184,4.0,4.0
185,4.0,5.0
186,2.0,1.0
187,2.0,1.0
188,2.0,2.0
189,2.0,1.0
190,3.0,5.0
191,3.0,2.0
192,3.0,1.0
193,3.0,5.0
194,4.0,5.0
195,4.0,4.0
196,2.0,1.0
197,2.0,1.0
198,3.0,5.0
199,2.0,1.0
200,3.0,5.0
201,2.0,2.0
202,3.0,3.0
203,3.0,4.0
204,3.0,4.0
205,3.0,3.0
206,2.0,1.0
207,2.0,5.0
208,4.0,5.0
209,3.0,4.0
210,3.0,3.0
211,3.0,5.0
212,2.0,4.0
213,2.0,2.0
214,2.0,1.0
215,4.0,3.0
216,3.0,5.0
217,2.0,1.0
218,4.0,3.0
219,3.0,4.0
220,2.0,1.0
221,2.0,5.0
222,3.0,4.0
223,2.0,2.0
224,3.0,1.0
225,4.0,3.0
226,2.0,1.0
227,4.0,3.0
228,4.0,4.0
229,4.0,4.0
230,3.0,1.0
231,2.0,2.0
232,4.0,2.0
233,2.0,2.0
234,2.0,2.0
235,3.0,2.0
236,3.0,2.0
237,4.0,4.0
238,2.0,4.0
239,2.0,1.0
240,3.0,3.0
241,4.0,4.0
242,2.0,5.0
243,2.0,5.0
244,4.0,2.0
245,3.0,2.0
246,4.0,2.0
247,3.0,2.0
248,4.0,4.0
249,4.0,3.0
250,2.0,1.0
251,2.0,1.0
252,3.0,2.0
253,2.0,4.0
254,3.0,4.0
255,2.0,2.0
256,3.0,2.0
257,4.0,4.0
258,3.0,2.0
259,3.0,2.0
260,3.0,4.0
261,4.0,5.0
262,3.0,5.0
263,3.0,1.0
264,2.0,3.0
265,2.0,3.0
266,4.0,4.0
267,3.0,1.0
268,4.0,4.0
269,3.0,4.0
270,3.0,3.0
271,2.0,1.0
272,4.0,3.0
273,3.0,4.0
274,3.0,2.0
275,3.0,2.0
276,4.0,4.0
277,4.0,2.0
278,3.0,2.0
279,2.0,1.0
280,4.0,5.0
281,3.0,5.0
282,4.0,3.0
283,4.0,4.0
284,3.0,3.0
285,2.0,1.0
286,2.0,3.0
287,3.0,3.0
288,4.0,3.0
289,4.0,4.0
290,3.0,3.0
291,4.0,1.0
292,3.0,4.0
293,4.0,4.0
294,4.0,5.0
295,3.0,4.0
296,2.0,4.0
297,3.0,5.0
298,3.0,5.0
299,3.0,5.0
300,2.0,2.0
301,3.0,1.0
302,3.0,1.0
303,2.0,1.0
304,3.0,2.0
305,4.0,2.0
306,3.0,3.0
307,4.0,4.0
308,3.0,2.0
309,3.0,5.0
310,4.0,3.0
311,4.0,3.0
312,2.0,4.0
313,4.0,3.0
314,2.0,1.0
315,3.0,2.0
316,2.0,2.0
317,4.0,5.0
318,4.0,3.0
319,2.0,2.0
320,3.0,5.0
321,3.0,1.0
322,2.0,1.0
323,2.0,1.0
324,4.0,4.0
325,3.0,3.0
326,3.0,2.0
327,2.0,3.0
328,4.0,5.0
329,4.0,4.0
330,2.0,1.0
331,4.0,5.0
332,4.0,5.0
333,2.0,3.0
334,4.0,5.0
335,4.0,3.0
336,4.0,4.0
337,3.0,5.0
338,3.0,2.0
339,4.0,3.0
340,2.0,1.0
341,3.0,4.0
342,3.0,1.0
343,4.0,5.0
344,2.0,2.0
345,4.0,3.0
346,3.0,4.0
347,2.0,1.0
348,2.0,1.0
349,4.0,5.0
350,4.0,2.0
351,3.0,3.0
352,3.0,2.0
353,2.0,1.0
354,3.0,3.0
355,3.0,4.0
356,2.0,1.0
357,2.0,2.0
358,2.0,1.0
359,3.0,2.0
360,2.0,1.0
361,4.0,3.0
362,4.0,3.0
363,3.0,4.0
364,4.0,3.0
365,2.0,3.0
366,2.0,1.0
367,4.0,2.0
368,3.0,2.0
369,2.0,1.0
370,4.0,5.0
371,3.0,2.0
372,4.0,5.0
373,3.0,1.0
374,2.0,5.0
375,3.0,5.0
376,3.0,3.0
377,4.0,5.0
378,2.0,1.0
379,3.0,4.0
380,3.0,5.0
381,2.0,5.0
382,2.0,2.0
383,3.0,1.0
384,3.0,1.0
385,4.0,2.0
386,4.0,1.0
387,3.0,4.0
388,4.0,5.0
389,2.0,2.0
390,4.0,4.0
391,3.0,2.0
392,4.0,4.0
