,aspectRating,aspectSentences,Content,Overall
3,5.0,"['the valet was a doll, the front desk got me to my room quickly and everytime i passed through the lobby, the staff had huge smiles on their faces.']","fabulous hotel location and service are great. the valet was a doll, the front desk got me to my room quickly and everytime i passed through the lobby, the staff had huge smiles on their faces. i will be staying here often and would recommend to anyone. valet parking is the only way to go. starbucks is on the same block for those who need their lattes first thing in the morning! ",5.0
5,3.0,"['ok, but nothing special for the $$ they charge i am a diamond member at hilton but decided to give this chain a shot when i had my 20th anniversary in seattle.', 'when i took my printed reservation down to the front desk and showed them that it said things like two tv, a couch, ect, the desk clerk told me oh, they mixed two suites into the same description on the kimpton website - sorry about that how about a free breakfast.', 'gee i found one of the best breakfast spots in seattle 1/2 a block away, how convenient that the hotel does not know they exist.', 'if you are light sensitive, you will have to tape something over the controls.this is not a 4 start hotel, it a very clean business hotel with super high rates.', 'you can do better at any of the chain hotels in seattle. ']","ok, but nothing special for the $$ they charge i am a diamond member at hilton but decided to give this chain a shot when i had my 20th anniversary in seattle. well to start off i booked a suite and paid extra and then found that their website description is not what you get. a suite has more than a bedroom and a bathroom (standard hotel room). when i took my printed reservation down to the front desk and showed them that it said things like two tv, a couch, ect, the desk clerk told me oh, they mixed two suites into the same description on the kimpton website - sorry about that how about a free breakfast. you got to be kidding me! even embassy suits has a sitting room, bathroom and bedroom unlike what kimpton calls a suite. i was here for a 5 day stay and this was how they offer to correct false advertising? i send the kimpton preferred guest website an email asking about the failure to provide a suite as advertised on their website (my reservation description) (also furnished a hard copy of the reservation printout (from their website) to the front desk manager on duty) and did not get any reply or solution. i also send an email after the trip (guest survey) and once again did not get any follow up via email or mail. so i guess that tell you how concerned they are about guest.the staff ranged from indifferent to not helpful. i asked the front desk if their was any good breakfast spots in the neighborhood hood and was told, no only the hotels. gee i found one of the best breakfast spots in seattle 1/2 a block away, how convenient that the hotel does not know they exist. we arrived late the first night (11 pm) and had to go inside and run down the bellman who busy chating on his cell phone to get any help with our bags.prior to my arrival i had emailed the hotel to inform them that it was my 20th anniversary as my other half is really picky so i wanted to make sure everything was good to go. i got a nice email back saying they would like to deliver a bottle of champagne and some chocolate covered strawberries to our room upon arrival to celebrate. i also told them we needed foam pillows. so upon arrival no champagne or strawberries, no foam pillows and we had a great room with a view of an alley and high rise building -nice!now the good - you will not find a better housekeeping staff or a cleaner room than this property. we were very impressed that when we left each morning to go out shopping that they made up the room before we got back (even short trips of 2 hours or less). the beds were comfortable.not so good - the ac-heat control has a 4 x 4 inch screen that is bring green and will shine directly in your eyes all night. if you are light sensitive, you will have to tape something over the controls.this is not a 4 start hotel, it a very clean business hotel with super high rates. you can do better at any of the chain hotels in seattle. ",2.0
6,5.0,"[""nice rooms but not a 4* experience the hotel monaco in seattle is a good hotel but i wouldn't put it at 4* level.positives:large bathroom (mediterranean suite)comfortable bed  pillowsattentive housekeeping staffnegatives:ac unit malfunctioned throughout the stay front desk disorganized."", 'first impression is that the room was huge but there was so much open space i felt that the room was almost too big.']","nice rooms but not a 4* experience the hotel monaco in seattle is a good hotel but i wouldn't put it at 4* level.positives:large bathroom (mediterranean suite)comfortable bed  pillowsattentive housekeeping staffnegatives:ac unit malfunctioned throughout the stay front desk disorganized. missed 3 separate wakeup calls. concierge was always busy and hard to get in touch with. didn't provide much guidance on special requests.tv hard to use and ipod sound dock in suite non functioning.----i decided to book a mediterranean suite for my 3 night weekend stay after my 1st choice (where the rest of my party was) filled up. in comparison to the w, i spent about $45 more per night but had a larger (square footage) room with a great soaking tub (with whirlpool jets) and a nice shower.before my stay, i had the hotel arrange a car service, the price $53 with tip was reasonable and the driver was waiting for me on arrival.checkin was easy but the downside was that with a room that was picked for its 2 person jacuzi tub, i found no bath accessories (salts, bubble bath etc...) and didn't get any during the stay. the first night (got in around 12/1a) i checked in and had a voucher for a bottle of champagne (nice gesture) and the fish waiting in my room. first impression is that the room was huge but there was so much open space i felt that the room was almost too big. the tv was far away from the bed so it was a chore to change the channel. the ipod dock was also broken which was disappointing.in the morning on my way out i asked for someone at the desk to check the thermostat out (it said 65f but was around 74, which was about 2 degrees too warm) and try to cover its face for me at night (bright blue light kept me up). when i got back to the room that night, no one had done either. that was the 1st drop by the front desk. i called maintainence and someone came to look at the thermostat but he told me to play around with the settings until i was happy (why have a digital box if it won't work!?!??!?!)i asked for a wakeup call at 10am the next morning, that didn't happen. i called later for a 6pm nap wakeup call.... they forgot that. the 10am wakeup call the next morning, yep, it was forgotten.the bathroom facilities were great in this room but i was surprised that a room sold for its whirlpool bath tub wouldn't have had any bath amenities. it was great to relax in the water with the jets going. ",3.0
10,5.0,"[""short walk to pike's market and several restaurants (and coffee shops of course!""]",clean hotel w/great service! hotel was in a really good location. the staff was very friendly. use the valet at the hotel. you'll end up paying just as much to park it in a parking garage that is further away. we didn't eat at the restaurant although it looked great. the room was clean and bigger than we expected for a hotel monaco. short walk to pike's market and several restaurants (and coffee shops of course!). ,5.0
12,3.0,"['another nice touch was the wine receptions every evening, which were free receptions for those staying at the hotel.']","a great hotel we stayed here in march as we were on a hockey tour. the hotel is literally opposite the arena so was a perfect location for us as we had two matches to go to in the four days we were there. also it is right next to china town (which is nothing to write home about) and also it is not to far from all the tourist attractions. the cost was a little high at $217 per night but the hotel, location and amenities were worth it to us. the hotel's restaurant we only ate once in as food was really expensive, but very good. another nice touch was the wine receptions every evening, which were free receptions for those staying at the hotel. the bathroom needed updating but was perfectly usable and the min bar has to be seen to be believed. all in all i would recommend this hotel. ",4.0
13,5.0,"['a wonderful hotel at a reasonable price i just left the monaco and would say that this hotel has absolutely everything for the business traveller.', 'the location is good for anyone staying in seattle for a conference, or with a need to be downtown.', 'the convention center is appx 10 miute walk, but conversely, it is closer to the waterfront and pikes place.', 'the bed was large and luxurious, internet (both wired and wifi) available at no charge to guests and with a very good signal.', 'good coffee (but then again, it is seattle...).the gym left a bit to be desired, but it was adequate and what was there was new, clean and in great working order,and it was available 24 hours.', 'and they did have a reciprocal agreement with a full health club nearby.the hotel has a bit of a funky vibe (complete with faux leopard-skin robes in the closet), but not so much as to turn off even the most conservative business traveller.', 'in summary, i would recommend the hotel to anyone heading into downtown seattle for any reason. ']","a wonderful hotel at a reasonable price i just left the monaco and would say that this hotel has absolutely everything for the business traveller. firstly, in all my years of travel, i have never come across such a friendly, welcoming, and inviting staff outside of asia. that alone makes this hotel stand out from most us hotels. but there is much more to recommend it. the location is good for anyone staying in seattle for a conference, or with a need to be downtown. the convention center is appx 10 miute walk, but conversely, it is closer to the waterfront and pikes place. the room was outstanding. the bed was large and luxurious, internet (both wired and wifi) available at no charge to guests and with a very good signal. the desk was adequate size for working and the room itself was not cramped. paper at your door every morning. good coffee (but then again, it is seattle...).the gym left a bit to be desired, but it was adequate and what was there was new, clean and in great working order,and it was available 24 hours. and they did have a reciprocal agreement with a full health club nearby.the hotel has a bit of a funky vibe (complete with faux leopard-skin robes in the closet), but not so much as to turn off even the most conservative business traveller. in summary, i would recommend the hotel to anyone heading into downtown seattle for any reason. ",5.0
16,5.0,"['the location was excellent, a short stroll to the main downtown shopping area.', ""we didn't partake in the free wine or coffee/tea service in the lobby but thought it was a great feature."", 'free wireless internet throughout the hotel which worked in the suite on our 2 laptops.']","unique! a great stay. had a wonderful time at the hotel monaco. the location was excellent, a short stroll to the main downtown shopping area. pet friendly but the room showed no signs of animal hair, smells, etc. we had a monaco suite and the sleeping area had big striped curtains which could be pulled closed, a nice touch which felt cosy. had a goldfish named brandi who we enjoyed. we didn't partake in the free wine or coffee/tea service in the lobby but thought it was a great feature. great staff all around, very friendly. free wireless internet throughout the hotel which worked in the suite on our 2 laptops. the decor was a lovely, eclectic mix of pattens in the same color palatte. animal print bathrobes made us feel like rock stars. it was so nice to be somewhere that didn't look like a sterile chain hotel, this hotel had personality and we had an excellent stay. ",5.0
17,3.0,['pleasant stay at the seattle monaco our 2 night weekend getaway at the seattle monaco went off without a hitch.'],"pleasant stay at the seattle monaco our 2 night weekend getaway at the seattle monaco went off without a hitch. from check-in to check-out, the hotel was a pleasurable jumping off point for our activities around town. comfortable bed, spacious room, nice bathroom.the front desk staff was helpful with suggestions regarding unique places to dine at for both early morning and late night jaunts. ",4.0
20,5.0,"['our room had 2 queen beds and still plenty of space to move.', 'it is within walking distance to pike place, shopping, restaurants etc.']","absolutely gorgeous hotel everything about this hotel was perfect. our room had 2 queen beds and still plenty of space to move. the staff were friendly and the location of the hotel was perfect to where we wanted to go. it is within walking distance to pike place, shopping, restaurants etc. i can't fault this hotel i only wish we had more time there. ",5.0
21,5.0,"['great stay at the hip hotel monaco seattle spent the evening of april 22nd, tuesday.', 'read all the trip advisor reviews before i visited the hotel monaco seattle and was most worried about street noise.', 'the hotel is located in the center of a big busy vibrant city, and i expect to hear a little normal street life noise, but thankfully there was not a noise problem.besides the very cool gym, i also enjoyed the complimentary yoga equipment in my room with the video fitness workouts on tv.', 'the doormen/valets always with a warm welcome as they opened the doors as guests enter the lobby.', 'evening complimentary wine and beer hour from 5-6pm nightly, and morning coffee in the lobby was a treat.', 'complimentary wi-fi in rooms and lobby was another added touch of value.']","great stay at the hip hotel monaco seattle spent the evening of april 22nd, tuesday. read all the trip advisor reviews before i visited the hotel monaco seattle and was most worried about street noise. stayed on the the 7th floor facing the busy city street, but heard very faint, almost no vehicle noise which i was relieved. the hotel is located in the center of a big busy vibrant city, and i expect to hear a little normal street life noise, but thankfully there was not a noise problem.besides the very cool gym, i also enjoyed the complimentary yoga equipment in my room with the video fitness workouts on tv. loved the fun animal print bathrobes and cool toiletries and the offer of their trademark pet goldfish during my stay.hotel staff was always friendly, from the housekeepers to art and amanda at the concierge  front desks were always smiling and very helpful. the doormen/valets always with a warm welcome as they opened the doors as guests enter the lobby. evening complimentary wine and beer hour from 5-6pm nightly, and morning coffee in the lobby was a treat. complimentary wi-fi in rooms and lobby was another added touch of value. as principle, i get tired of being nickled and dimed by the big hotel chains. i am glad i can honestly recommend the hotel monaco. ",5.0
