,aspectRating,aspectSentences,Content,Overall
0,5.0,"['what a great experience!', 'the staff was attentive and went above and beyond to make our stay enjoyable.', ""oh, and about the parking: the charge is about what you would pay at any garage or lot- and i bet they wouldn't help you out in the snow! ""]","wonderful time- even with the snow! what a great experience! from the goldfish in the room (which my daughter loved) to the fact that the valet parking staff who put on my chains on for me it was fabulous. the staff was attentive and went above and beyond to make our stay enjoyable. oh, and about the parking: the charge is about what you would pay at any garage or lot- and i bet they wouldn't help you out in the snow! ",5.0
1,5.0,"[""lovely hotel, unique decor, friendly front desk staff, central location it's only recently that i've started staying at boutique hotels, so i'm definitely not an expert on the subtleties that these types of establishments provide."", ""but i've already stayed at a few kimptons and i must say that my experiences are mostly good."", 'hotel monaco is no exception.', 'sazerac restaurant served us delicious breakfast in a really great setting.', 'seattle is a cute town in and of itself, so the hotel only enhanced our stay.', 'the location was ideal!', 'there are lots of restaurants nearby, and it only took a good 10-15 minutes to walk to pike place market.', ""overall, this was a nice hotel and i'd stay here again."", 'i only gave it 4-stars because i recently stayed at a shangri-la and was so wowed by the experience.', ""but if i hadn't been, the hotel monaco would've gotten another star! ""]","lovely hotel, unique decor, friendly front desk staff, central location it's only recently that i've started staying at boutique hotels, so i'm definitely not an expert on the subtleties that these types of establishments provide. but i've already stayed at a few kimptons and i must say that my experiences are mostly good. hotel monaco is no exception. the decor at the kimpton hotels is always unique - they have a wonderful way of pulling off colors, textures and patterns so one feels cool and trendy yet comfortable. the lobby and lounge were decorated really nicely in very rich tones. our room provided a nice view and had this modern, romantic, shabby-chic feel to it, for lack of a better description. all the staff was friendly and helpful without any attitude. sazerac restaurant served us delicious breakfast in a really great setting. seattle is a cute town in and of itself, so the hotel only enhanced our stay. the location was ideal! we walked everywhere and had no need for a taxi. there are lots of restaurants nearby, and it only took a good 10-15 minutes to walk to pike place market. from what i remember, the library is right across the street and is a must see. gorgeous architecture. overall, this was a nice hotel and i'd stay here again. i only gave it 4-stars because i recently stayed at a shangri-la and was so wowed by the experience. but if i hadn't been, the hotel monaco would've gotten another star! ",4.0
2,3.0,"['nice hotel, expensive parking we got a good deal to stay at this hotel for our anniversary.', ""we did not get a goldfish for our stay, though that is a nice touch and we would've taken advantage of it if we were staying longer."", 'location is great, within walking distance of shopping.']","nice hotel, expensive parking we got a good deal to stay at this hotel for our anniversary. we arrived late in the evening, and we took the advice of previous reviews and did the valet parking. check in was very quick and easy. we were a little disappointed by the (non-existent) view from the room, but the room itself was clean and a nice size. the bed was comfortable, but i woke up with a stiff neck from the high pillows. it was not as soundproof as we like...we heard music from the next room at night, and in the morning there were loud bangs from doors opening and closing, and we could hear people talking in the hallway. maybe we just had noisy neighbors. the aveda bath products were nice. we did not get a goldfish for our stay, though that is a nice touch and we would've taken advantage of it if we were staying longer. location is great, within walking distance of shopping. overall a nice experience, except for having to pay $40 for parking one night! ",4.0
3,5.0,"['fabulous hotel location and service are great.', 'i will be staying here often and would recommend to anyone.']","fabulous hotel location and service are great. the valet was a doll, the front desk got me to my room quickly and everytime i passed through the lobby, the staff had huge smiles on their faces. i will be staying here often and would recommend to anyone. valet parking is the only way to go. starbucks is on the same block for those who need their lattes first thing in the morning! ",5.0
5,3.0,"['ok, but nothing special for the $$ they charge i am a diamond member at hilton but decided to give this chain a shot when i had my 20th anniversary in seattle.', 'a suite has more than a bedroom and a bathroom (standard hotel room).', 'i was here for a 5 day stay and this was how they offer to correct false advertising?', 'i asked the front desk if their was any good breakfast spots in the neighborhood hood and was told, no only the hotels.', 'gee i found one of the best breakfast spots in seattle 1/2 a block away, how convenient that the hotel does not know they exist.', 'we arrived late the first night (11 pm) and had to go inside and run down the bellman who busy chating on his cell phone to get any help with our bags.prior to my arrival i had emailed the hotel to inform them that it was my 20th anniversary as my other half is really picky so i wanted to make sure everything was good to go.', 'i got a nice email back saying they would like to deliver a bottle of champagne and some chocolate covered strawberries to our room upon arrival to celebrate.', 'so upon arrival no champagne or strawberries, no foam pillows and we had a great room with a view of an alley and high rise building -nice!now the good - you will not find a better housekeeping staff or a cleaner room than this property.', 'we were very impressed that when we left each morning to go out shopping that they made up the room before we got back (even short trips of 2 hours or less).', 'the beds were comfortable.not so good - the ac-heat control has a 4 x 4 inch screen that is bring green and will shine directly in your eyes all night.', 'if you are light sensitive, you will have to tape something over the controls.this is not a 4 start hotel, it a very clean business hotel with super high rates.', 'you can do better at any of the chain hotels in seattle. ']","ok, but nothing special for the $$ they charge i am a diamond member at hilton but decided to give this chain a shot when i had my 20th anniversary in seattle. well to start off i booked a suite and paid extra and then found that their website description is not what you get. a suite has more than a bedroom and a bathroom (standard hotel room). when i took my printed reservation down to the front desk and showed them that it said things like two tv, a couch, ect, the desk clerk told me oh, they mixed two suites into the same description on the kimpton website - sorry about that how about a free breakfast. you got to be kidding me! even embassy suits has a sitting room, bathroom and bedroom unlike what kimpton calls a suite. i was here for a 5 day stay and this was how they offer to correct false advertising? i send the kimpton preferred guest website an email asking about the failure to provide a suite as advertised on their website (my reservation description) (also furnished a hard copy of the reservation printout (from their website) to the front desk manager on duty) and did not get any reply or solution. i also send an email after the trip (guest survey) and once again did not get any follow up via email or mail. so i guess that tell you how concerned they are about guest.the staff ranged from indifferent to not helpful. i asked the front desk if their was any good breakfast spots in the neighborhood hood and was told, no only the hotels. gee i found one of the best breakfast spots in seattle 1/2 a block away, how convenient that the hotel does not know they exist. we arrived late the first night (11 pm) and had to go inside and run down the bellman who busy chating on his cell phone to get any help with our bags.prior to my arrival i had emailed the hotel to inform them that it was my 20th anniversary as my other half is really picky so i wanted to make sure everything was good to go. i got a nice email back saying they would like to deliver a bottle of champagne and some chocolate covered strawberries to our room upon arrival to celebrate. i also told them we needed foam pillows. so upon arrival no champagne or strawberries, no foam pillows and we had a great room with a view of an alley and high rise building -nice!now the good - you will not find a better housekeeping staff or a cleaner room than this property. we were very impressed that when we left each morning to go out shopping that they made up the room before we got back (even short trips of 2 hours or less). the beds were comfortable.not so good - the ac-heat control has a 4 x 4 inch screen that is bring green and will shine directly in your eyes all night. if you are light sensitive, you will have to tape something over the controls.this is not a 4 start hotel, it a very clean business hotel with super high rates. you can do better at any of the chain hotels in seattle. ",2.0
6,5.0,"[""nice rooms but not a 4* experience the hotel monaco in seattle is a good hotel but i wouldn't put it at 4* level.positives:large bathroom (mediterranean suite)comfortable bed  pillowsattentive housekeeping staffnegatives:ac unit malfunctioned throughout the stay front desk disorganized."", ""didn't provide much guidance on special requests.tv hard to use and ipod sound dock in suite non functioning.----i decided to book a mediterranean suite for my 3 night weekend stay after my 1st choice (where the rest of my party was) filled up."", ""in comparison to the w, i spent about $45 more per night but had a larger (square footage) room with a great soaking tub (with whirlpool jets) and a nice shower.before my stay, i had the hotel arrange a car service, the price $53 with tip was reasonable and the driver was waiting for me on arrival.checkin was easy but the downside was that with a room that was picked for its 2 person jacuzi tub, i found no bath accessories (salts, bubble bath etc...) and didn't get any during the stay."", ""the 10am wakeup call the next morning, yep, it was forgotten.the bathroom facilities were great in this room but i was surprised that a room sold for its whirlpool bath tub wouldn't have had any bath amenities."", 'it was great to relax in the water with the jets going. ']","nice rooms but not a 4* experience the hotel monaco in seattle is a good hotel but i wouldn't put it at 4* level.positives:large bathroom (mediterranean suite)comfortable bed  pillowsattentive housekeeping staffnegatives:ac unit malfunctioned throughout the stay front desk disorganized. missed 3 separate wakeup calls. concierge was always busy and hard to get in touch with. didn't provide much guidance on special requests.tv hard to use and ipod sound dock in suite non functioning.----i decided to book a mediterranean suite for my 3 night weekend stay after my 1st choice (where the rest of my party was) filled up. in comparison to the w, i spent about $45 more per night but had a larger (square footage) room with a great soaking tub (with whirlpool jets) and a nice shower.before my stay, i had the hotel arrange a car service, the price $53 with tip was reasonable and the driver was waiting for me on arrival.checkin was easy but the downside was that with a room that was picked for its 2 person jacuzi tub, i found no bath accessories (salts, bubble bath etc...) and didn't get any during the stay. the first night (got in around 12/1a) i checked in and had a voucher for a bottle of champagne (nice gesture) and the fish waiting in my room. first impression is that the room was huge but there was so much open space i felt that the room was almost too big. the tv was far away from the bed so it was a chore to change the channel. the ipod dock was also broken which was disappointing.in the morning on my way out i asked for someone at the desk to check the thermostat out (it said 65f but was around 74, which was about 2 degrees too warm) and try to cover its face for me at night (bright blue light kept me up). when i got back to the room that night, no one had done either. that was the 1st drop by the front desk. i called maintainence and someone came to look at the thermostat but he told me to play around with the settings until i was happy (why have a digital box if it won't work!?!??!?!)i asked for a wakeup call at 10am the next morning, that didn't happen. i called later for a 6pm nap wakeup call.... they forgot that. the 10am wakeup call the next morning, yep, it was forgotten.the bathroom facilities were great in this room but i was surprised that a room sold for its whirlpool bath tub wouldn't have had any bath amenities. it was great to relax in the water with the jets going. ",3.0
7,5.0,"['wonderful experience at the monaco we are seattle residents, so it was interesting researching and booking a hotel in our own city.', ""our daughter's 9th birthday was 09.13.08 and we promised to take her and two girlfriends to see shrek the musical at the 5th avenue theater, and decided we'd make a fun night out of it by booking a nearby hotel as well.we settled on the monaco based on its proximity to the theater, price, and trip adviser reviews, and couldn't have had a more rewarding experience.the play started at 2:00 pm, so the day before, i called and requested an early check-in of 1:00. i was told there was no guarantee, which is industry standard, so we left our house headed for the monaco with no real expectation of being able to check in to the room early."", ""the little touches that the hotel provides really personalize the hotel experience and make it feel so much more homey, as opposed to many of the sterile hotel experiences i've had in the past."", ""we didn't spend long in the room before heading down to sazerac (the hotel's restaurant) for dinner."", ""in the mean time, my husband sneaked my daughter's birthday cake out of our car and left it with the front desk staff with instructions that we would like to order it from room service so that we could keep it a surprise from our daughter."", 'they were thrilled.when we finally headed to the room for any length of time that day, we were surprised to find three gift-packs for the girls, courtesy of the hotel, along with a nice card for the birthday girl letting her know that whenever she was ready, they had some cookies and milk for her - she simply needed to call room service.', 'another wonderful touch.eventually we ordered our cake from room service and it was delivered along with candles provided by the hotel.', ':)i can honestly say that the hotel was dead quiet that night - i actually wondered if our floor was empty.', 'the next morning we headed back downstairs for breakfast and it was quite good.', 'i have a few suggestions for the restaurants bloody mary bar - sazerac, call me!', ':)checkout was smooth, and when we left, everyone was incredibly happy with our experience.as a humorous side-note, my daughter and her friends stayed up so late the night of her birthday, that she was exhausted when we got back to our house.', 'she also asked if we could go back to the monaco next year.thank you so much hotel monaco for making our experience so incredibly enjoyable, and for making my daughter feel so special.']","wonderful experience at the monaco we are seattle residents, so it was interesting researching and booking a hotel in our own city. our daughter's 9th birthday was 09.13.08 and we promised to take her and two girlfriends to see shrek the musical at the 5th avenue theater, and decided we'd make a fun night out of it by booking a nearby hotel as well.we settled on the monaco based on its proximity to the theater, price, and trip adviser reviews, and couldn't have had a more rewarding experience.the play started at 2:00 pm, so the day before, i called and requested an early check-in of 1:00. i was told there was no guarantee, which is industry standard, so we left our house headed for the monaco with no real expectation of being able to check in to the room early. to my utter amazement, we arrived and were checked in and on our way up to the room in about 90 seconds. big points there. while checking in, i asked the front desk staff to send three of the child-sized animal print robes and a few goldfish up to the room while we were at the play as a fun surprise for the girls.when we arrived at the room, it was clean, spacious, and very nicely furnished and decorated. i almost always take pictures for ta reviews, but we had so much on our plates that day, it just didn't happen.after the play, we returned to the robes and goldfish as promised, and the girls were ecstatic. the little touches that the hotel provides really personalize the hotel experience and make it feel so much more homey, as opposed to many of the sterile hotel experiences i've had in the past. we didn't spend long in the room before heading down to sazerac (the hotel's restaurant) for dinner. in the mean time, my husband sneaked my daughter's birthday cake out of our car and left it with the front desk staff with instructions that we would like to order it from room service so that we could keep it a surprise from our daughter. no problem.dinner was wonderful, and our wonderful (and patient!) waiter overheard it was a birthday, and surprised the girls with a chocolate lava cake for dessert. they were thrilled.when we finally headed to the room for any length of time that day, we were surprised to find three gift-packs for the girls, courtesy of the hotel, along with a nice card for the birthday girl letting her know that whenever she was ready, they had some cookies and milk for her - she simply needed to call room service. another wonderful touch.eventually we ordered our cake from room service and it was delivered along with candles provided by the hotel. the girls loved that. :)i can honestly say that the hotel was dead quiet that night - i actually wondered if our floor was empty. the beds were quite comfortable (although my husband took some issue with the pillows. all things considered, i think we'll give it a pass!) and we slept well. the next morning we headed back downstairs for breakfast and it was quite good. i have a few suggestions for the restaurants bloody mary bar - sazerac, call me! :)checkout was smooth, and when we left, everyone was incredibly happy with our experience.as a humorous side-note, my daughter and her friends stayed up so late the night of her birthday, that she was exhausted when we got back to our house. at bedtime that night, she burst into tears, lamenting that the best day of her life was over. she also asked if we could go back to the monaco next year.thank you so much hotel monaco for making our experience so incredibly enjoyable, and for making my daughter feel so special. well done. ",5.0
8,5.0,"['great hotel fantastic hotel.', 'jeff at the concierge was a great help.', 'breakfast at the restaurant was outstanding. ']","great hotel fantastic hotel. get the goldfish to keep you company. we still miss ours, phil! jeff at the concierge was a great help. loved the crazy room--somehow the stripes work. will definitely return. breakfast at the restaurant was outstanding. ",5.0
9,5.0,['loved it location is fabulous.'],loved it location is fabulous. service couldn't have been better. ,4.0
10,5.0,"['clean hotel w/great service!', 'hotel was in a really good location.', 'use the valet at the hotel.', ""we didn't eat at the restaurant although it looked great."", 'the room was clean and bigger than we expected for a hotel monaco.', ""short walk to pike's market and several restaurants (and coffee shops of course!""]",clean hotel w/great service! hotel was in a really good location. the staff was very friendly. use the valet at the hotel. you'll end up paying just as much to park it in a parking garage that is further away. we didn't eat at the restaurant although it looked great. the room was clean and bigger than we expected for a hotel monaco. short walk to pike's market and several restaurants (and coffee shops of course!). ,5.0
